6,8,13,99899,10000000,100030000
0.006895,0.002493,0.001055,1.243434,12.916329,0.258706
0.000659,0.001841,0.001039,1.245287,12.912032,0.217222
0.000525,0.001692,0.000993,1.269070,12.937768,0.218081
0.000527,0.001638,0.000957,1.233904,12.950917,0.217916
0.000520,0.001630,0.000988,1.232143,12.885310,0.257643
0.000525,0.001638,0.000962,1.237780,13.092064,0.218023
0.000522,0.001633,0.001017,1.270804,12.957180,0.217440
0.000518,0.001596,0.000966,1.271082,12.928779,0.217583
0.000520,0.001524,0.000968,1.273206,12.916283,0.221205
0.000516,0.001494,0.000968,1.363840,12.950997,0.217115
0.000522,0.001472,0.000982,1.284179,12.892357,0.217242
0.000526,0.001572,0.000994,1.292637,13.002370,0.217374
0.000515,0.001490,0.001028,1.332157,12.900276,0.217375
0.000516,0.001576,0.001031,1.276857,12.920093,0.219321
0.000522,0.001576,0.001029,1.273531,12.899179,0.217230
0.000519,0.001570,0.001018,1.270895,12.875493,0.217259
0.000518,0.001469,0.001026,1.238895,12.894830,0.217049
0.000524,0.001475,0.001029,1.280554,12.910862,0.217894
0.000515,0.001623,0.001035,1.292126,12.716243,0.282130
0.000524,0.001566,0.001038,1.285463,12.801964,0.216946
0.000514,0.001560,0.001034,1.325135,12.676004,0.216905
0.000515,0.001493,0.001025,1.275987,12.818512,0.217331
0.000522,0.001486,0.000952,1.278201,12.750085,0.261264
0.000507,0.001559,0.000976,1.347280,12.636218,0.216686
0.000529,0.001608,0.000981,1.293131,12.798141,0.217784
0.000509,0.001576,0.001038,1.299144,12.684662,0.217992
0.000538,0.001489,0.001021,1.333124,12.656370,0.250841
0.000527,0.001563,0.001019,1.233844,13.481357,0.217809
0.000512,0.001508,0.001034,1.269164,12.688990,0.218079
0.000538,0.001554,0.001024,1.228197,12.706080,0.217563
0.000525,0.001564,0.001025,1.236226,12.662869,0.249822
